
New Run at  08/21/2015 21:10:00
, Time,RandomReward; CoLinReward; LinUCBReward; GOBLinReward
data,1238536800000,0;0;0;0
data,1238536800000,0;0;0;0
data,1238536800000,0;0;0;0
data,1238536800000,0;0;0;0
data,1238536800000,0;0;0;0
data,1241128800000,0;0;0;0
data,1241128800000,0;0;0;0
data,1241128800000,0;0;0;0
data,1241128800000,0;0;0;0
data,1241128800000,0;0;0;0
data,1264978800000,0;0;0;0
data,1235862000000,0;0;0;0
data,1233442800000,0;0;0;0
data,1246399200000,0;0;0;0
data,1235862000000,0;0;0;0
data,1264978800000,0;0;0;0
data,1249077600000,0;0;0;0
data,1235862000000,0;0;0;0
data,1246399200000,0;0;0;0
